crop_id,crop_name_en,crop_name_mm,region,township,crop_type,planting_start_month,planting_end_month,harvest_start_month,harvest_end_month,growing_duration_min_days,growing_duration_max_days,establishment_start_month,establishment_end_month,years_to_first_harvest_min,years_to_first_harvest_max,harvest_season_start_month,harvest_season_end_month,season,notes_en,notes_mm,source_name,source_url,verification_status,last_updated
crop_suitability_monsoon_rice,Monsoon Rice,မိုးစပါး,Ayeyarwady,,annual,5,6,10,11,,,,,,,,,monsoon,,,FAO / UN Myanmar 2025 agricultural calendar,https://myanmar.un.org/my/download/187392/297440,needs_verification,2026-08-10
crop_suitability_monsoon_rice,Monsoon Rice,မိုးစပါး,Bago,,annual,5,6,10,11,,,,,,,,,monsoon,,,FAO / UN Myanmar 2025 agricultural calendar,https://myanmar.un.org/my/download/187392/297440,needs_verification,2026-08-10
crop_suitability_monsoon_rice,Monsoon Rice,မိုးစပါး,Mandalay,,annual,5,6,10,11,,,,,,,,,monsoon,,,FAO / UN Myanmar 2025 agricultural calendar,https://myanmar.un.org/my/download/187392/297440,needs_verification,2026-08-10
crop_suitability_monsoon_rice,Monsoon Rice,မိုးစပါး,Sagaing,,annual,5,6,10,11,,,,,,,,,monsoon,,,FAO / UN Myanmar 2025 agricultural calendar,https://myanmar.un.org/my/download/187392/297440,needs_verification,2026-08-10
crop_suitability_monsoon_rice,Monsoon Rice,မိုးစပါး,Magway,,annual,5,6,10,11,,,,,,,,,monsoon,,,FAO / UN Myanmar 2025 agricultural calendar,https://myanmar.un.org/my/download/187392/297440,needs_verification,2026-08-10
crop_suitability_monsoon_rice,Monsoon Rice,မိုးစပါး,Yangon,,annual,5,6,10,11,,,,,,,,,monsoon,,,FAO / UN Myanmar 2025 agricultural calendar,https://myanmar.un.org/my/download/187392/297440,needs_verification,2026-08-10
crop_suitability_dry_season_rice,Dry Season Rice,နွေစပါး,Ayeyarwady,,annual,12,1,3,4,,,,,,,,,dry-season,,,FAO / UN Myanmar 2025 agricultural calendar,https://myanmar.un.org/my/download/187392/297440,needs_verification,2026-08-10
crop_suitability_dry_season_rice,Dry Season Rice,နွေစပါး,Bago,,annual,12,1,3,4,,,,,,,,,dry-season,,,FAO / UN Myanmar 2025 agricultural calendar,https://myanmar.un.org/my/download/187392/297440,needs_verification,2026-08-10
crop_suitability_dry_season_rice,Dry Season Rice,နွေစပါး,Mandalay,,annual,12,1,3,4,,,,,,,,,dry-season,,,FAO / UN Myanmar 2025 agricultural calendar,https://myanmar.un.org/my/download/187392/297440,needs_verification,2026-08-10
crop_suitability_dry_season_rice,Dry Season Rice,နွေစပါး,Sagaing,,annual,12,1,3,4,,,,,,,,,dry-season,,,FAO / UN Myanmar 2025 agricultural calendar,https://myanmar.un.org/my/download/187392/297440,needs_verification,2026-08-10
crop_suitability_dry_season_rice,Dry Season Rice,နွေစပါး,Magway,,annual,12,1,3,4,,,,,,,,,dry-season,,,FAO / UN Myanmar 2025 agricultural calendar,https://myanmar.un.org/my/download/187392/297440,needs_verification,2026-08-10
crop_suitability_dry_season_rice,Dry Season Rice,နွေစပါး,Yangon,,annual,12,1,3,4,,,,,,,,,dry-season,,,FAO / UN Myanmar 2025 agricultural calendar,https://myanmar.un.org/my/download/187392/297440,needs_verification,2026-08-10
crop_suitability_black_gram,Black Gram,မတ်ပဲ,Ayeyarwady,,annual,10,10,3,4,,,,,,,,,winter/post-monsoon,,,"IFPRI/CGIAR — Myanmar's poverty and food insecurity crisis, pulse-calendar section",https://cgspace.cgiar.org/server/api/core/bitstreams/8b9a7f95-ed32-4c96-8c6d-5d28dbcc5cfe/content,verified,2026-08-10
crop_suitability_black_gram,Black Gram,မတ်ပဲ,Bago,,annual,10,10,3,4,,,,,,,,,winter/post-monsoon,,,"IFPRI/CGIAR — Myanmar's poverty and food insecurity crisis, pulse-calendar section",https://cgspace.cgiar.org/server/api/core/bitstreams/8b9a7f95-ed32-4c96-8c6d-5d28dbcc5cfe/content,verified,2026-08-10
crop_suitability_black_gram,Black Gram,မတ်ပဲ,Mandalay,,annual,10,10,3,4,,,,,,,,,winter/post-monsoon,,,"IFPRI/CGIAR — Myanmar's poverty and food insecurity crisis, pulse-calendar section",https://cgspace.cgiar.org/server/api/core/bitstreams/8b9a7f95-ed32-4c96-8c6d-5d28dbcc5cfe/content,verified,2026-08-10
crop_suitability_black_gram,Black Gram,မတ်ပဲ,Sagaing,,annual,10,10,3,4,,,,,,,,,winter/post-monsoon,,,"IFPRI/CGIAR — Myanmar's poverty and food insecurity crisis, pulse-calendar section",https://cgspace.cgiar.org/server/api/core/bitstreams/8b9a7f95-ed32-4c96-8c6d-5d28dbcc5cfe/content,verified,2026-08-10
